"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1013","should mask password field","chromium","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","793","should show error for existing username","chromium","2026-04-05","passed","2026-04-05","User Registration Tests","registration/registration.spec.ts","",""
"","1883","should display error for wrong username correct password","webkit","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","2822","dashboard Page validation","webkit","2026-04-05","passed","2026-04-05","Dashboard Functionality","dashBoard/DashBoard.spec.ts","",""
"","1397","should show error for existing username","webkit","2026-04-05","passed","2026-04-05","User Registration Tests","registration/registration.spec.ts","",""
"","1295","should have Sign in link after Get Started","firefox","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1279","should display error message for invalid credentials","chromium","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","2182","should show username on dashboard after login","firefox","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1949","should display error for correct username wrong password","webkit","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1734","should display error for wrong username correct password","firefox","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","2239","should show username on dashboard after login","webkit","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1443","should register a new user successfully","firefox","2026-04-05","passed","2026-04-05","User Registration Tests","registration/registration.spec.ts","",""
"","1713","should stay on login page after failed login","firefox","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","3124","Time Complexity Page validation","webkit","2026-04-05","passed","2026-04-05","Dashboard Functionality","dashBoard/DashBoard.spec.ts","",""
"","1496","should display login form elements correctly","firefox","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1910","should register a new user successfully","webkit","2026-04-05","passed","2026-04-05","User Registration Tests","registration/registration.spec.ts","",""
"","1255","should stay on login page after failed login","chromium","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","988","should navigate to login page via Get Started and Sign in","chromium","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","1462","should navigate to login page via Get Started and Sign in","webkit","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
"","2303","Time Complexity Page validation","chromium","2026-04-05","passed","2026-04-05","Dashboard Functionality","dashBoard/DashBoard.spec.ts","",""
"","1093","should display error when username is empty","chromium","2026-04-05","passed","2026-04-05","Login Functionality","auth/Login.spec.ts","",""
